accession	E_or_T	total_intensity	more_info	layout	Stress	Normal	significant_difference	piechart_graphics	
12009.27_Da_E706 P38804_2full111_1G_P1_1T Acetyl	experimental	23237419.876787	Accession = E706; Aggregated Mass = 12009.2732516964; Aggregated Retention Time = 65.0610127926698; Total Intensity = 23237419.876787; Aggregated Component Count = 5; ; Lysine Count = 12; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 481-483; Charge State m/z (+8): 1501.91509; RT (min): 65.3258466666666; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 467-469; Charge State m/z (+8): 1501.91707; RT (min): 64.3542291666667\n\nQuantitation Results:Q-Value = 0.3144955300127713920817369093; Log2FC = 2.64206250128963; Significant = True; Stress Quantitative Component Count = 7; Normal Quantitative Component Count = 13; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 460-462; Charge State m/z (+12): 1001.61311; RT (min): 62.8706666666667	167	20889516.5030013	4599581.10029507	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12406.04_Da_E527	experimental	46461798.02	Accession = E527; Aggregated Mass = 12406.042865288; Aggregated Retention Time = 44.3030816364395; Total Intensity = 46461798.02; Aggregated Component Count = 12; ; Lysine Count = 24; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_8_rep1_2-70-2-10; Scan Range: 313-315; Charge State m/z (+18): 690.009144087372; RT (min): 44.3640858333333; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep1_2-70-2-10; Scan Range: 312-314; Charge State m/z (+18): 690.0628; RT (min): 44.2310075\n\nQuantitation Results:Q-Value = 0.5230591168091168091168091169; Log2FC = -2.68240106892343; Significant = True; Stress Quantitative Component Count = 9; Normal Quantitative Component Count = 42; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 318-320; Charge State m/z (+18): 690.16779; RT (min): 43.9233275	168	6845515.29320933	40199453.37	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12513.1_Da_E597 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetyl; Missing Valine (V)	experimental	74243926.21	Accession = E597; Aggregated Mass = 12513.1046747384; Aggregated Retention Time = 44.9527593691139; Total Intensity = 74243926.21; Aggregated Component Count = 10; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 328-330; Charge State m/z (+17): 736.89599; RT (min): 45.184805; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 328-330; Charge State m/z (+17): 736.89599; RT (min): 45.184805\n\nQuantitation Results:Q-Value = 0.4595616024187452758881330311; Log2FC = -2.63907714994025; Significant = True; Stress Quantitative Component Count = 13; Normal Quantitative Component Count = 41; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep1_2-70-2-10; Scan Range: 325-327; Charge State m/z (+16): 783.066317755969; RT (min): 44.99842	169	10714820.2103463	63974105.96	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12570.13_Da_E18 P0CX27_2full106_2G_P3_1T Methyl; Methyl	experimental	8964838072.58	Accession = E18; Aggregated Mass = 12570.1348911742; Aggregated Retention Time = 44.5180431621455; Total Intensity = 8964838072.58; Aggregated Component Count = 253; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 321-323; Charge State m/z (+17): 740.24985; RT (min): 44.0417291666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 321-323; Charge State m/z (+17): 740.24985; RT (min): 44.0417291666667\n\nQuantitation Results:Q-Value = 0.9089962743808897655051501206; Log2FC = -0.714637615295777; Significant = False; Stress Quantitative Component Count = 172; Normal Quantitative Component Count = 231; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 318-320; Charge State m/z (+17): 740.41634; RT (min): 43.9233275	170	3394395014.69	5570443057.89	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12586.16_Da_E302 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Ox	experimental	627004708.01	Accession = E302; Aggregated Mass = 12586.1628758981; Aggregated Retention Time = 44.2517656792703; Total Intensity = 627004708.01; Aggregated Component Count = 19; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 320-322; Charge State m/z (+18): 700.07122; RT (min): 43.9084075; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 321-323; Charge State m/z (+18): 700.06907; RT (min): 44.0417291666667\n\nQuantitation Results:Q-Value = 0.6039624183006535947712418302; Log2FC = -1.09581075610231; Significant = False; Stress Quantitative Component Count = 89; Normal Quantitative Component Count = 142; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep2_2-70-2-10; Scan Range: 317-319; Charge State m/z (+17): 741.300330258772; RT (min): 43.87914	171	199852864.65	427151843.36	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12636.71_Da_E724 Q08245_2full113_1G_P19_1T Acetyl; Ammonia loss; Deamidation	experimental_below_quantification_threshold	20	Accession = E724; Aggregated Mass = 12636.7126059172; Aggregated Retention Time = 50.81669; Total Intensity = 20; Aggregated Component Count = 1; ; Lysine Count = 20; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 349-351; Charge State m/z (+15): 843.25432; RT (min): 50.81669; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 347-349; Charge State m/z (+14): 903.48629; RT (min): 50.7088575	172				
12638.17_Da_E1203 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact; Pyrrolidinone	experimental	9313839.70564608	Accession = E1203; Aggregated Mass = 12638.1748744561; Aggregated Retention Time = 44.3811866666667; Total Intensity = 9313839.70564608; Aggregated Component Count = 1; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep1_2-70-2-10; Scan Range: 321-323; Charge State m/z (+16): 790.70464; RT (min): 44.3811866666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 323-325; Charge State m/z (+19): 666.015436400996; RT (min): 44.3081383333333\n\nQuantitation Results:Q-Value = 0.8262017336485421591804570527; Log2FC = -2.07606854713365; Significant = False; Stress Quantitative Component Count = 5; Normal Quantitative Component Count = 6; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 321-323; Charge State m/z (+18): 703.06148; RT (min): 44.3230858333333	173	9529924.19506113	7863654.81159555	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12652.74_Da_E394 Q08245_2full113_1G_P4_1T Acetyl	experimental_below_quantification_threshold	20	Accession = E394; Aggregated Mass = 12652.742265318; Aggregated Retention Time = 56.7228564104864; Total Intensity = 20; Aggregated Component Count = 7; ; Lysine Count = 20; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract6_rep2_2-70-2-10; Scan Range: 413-415; Charge State m/z (+13): 974.06366; RT (min): 56.8000533333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract6_rep2_2-70-2-10; Scan Range: 413-415; Charge State m/z (+13): 974.06366; RT (min): 56.8000533333333	174				
12652.75_Da_E6 Q08245_2full113_1G_P4_1T Acetyl	experimental	9631022547.3	Accession = E6; Aggregated Mass = 12652.7465355317; Aggregated Retention Time = 50.2518391490951; Total Intensity = 9631022547.3; Aggregated Component Count = 71; ; Lysine Count = 20; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 349-351; Charge State m/z (+14): 904.5605; RT (min): 50.81669; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 349-351; Charge State m/z (+14): 904.5605; RT (min): 50.81669\n\nQuantitation Results:Q-Value = 0.2809983896940418679549114328; Log2FC = 0.927441565284968; Significant = True; Stress Quantitative Component Count = 145; Normal Quantitative Component Count = 118; Abundant Component for Manual Validation of Quantification: File: 10-14-15_A_fract6_rep2_2-70-2-10; Scan Range: 359-360; Charge State m/z (+13): 974.27371; RT (min): 49.8773925	175	6312154980.42	3318867566.88	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12654.19_Da_E233 P0CX27_2full106_2G_P2_1T Methyl; Acetone Artifact	experimental	81132101.361093	Accession = E233; Aggregated Mass = 12654.1913409498; Aggregated Retention Time = 44.541530632252; Total Intensity = 81132101.361093; Aggregated Component Count = 38; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep1_2-70-2-10; Scan Range: 320-322; Charge State m/z (+18): 703.85094; RT (min): 44.2478725; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 323-325; Charge State m/z (+18): 703.851037343875; RT (min): 44.3081383333333\n\nQuantitation Results:Q-Value = 0.5882264378199337548931044864; Log2FC = -1.89673446503706; Significant = False; Stress Quantitative Component Count = 12; Normal Quantitative Component Count = 53; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 321-323; Charge State m/z (+17): 745.36044; RT (min): 44.3230858333333	176	17901162.169873	63956538.36	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12668.2_Da_E100 P0CX27_2full106_2G_P3_1T Methyl; Methyl; Acetone Artifact	experimental	681799285.92	Accession = E100; Aggregated Mass = 12668.1994867491; Aggregated Retention Time = 44.6759175931936; Total Intensity = 681799285.92; Aggregated Component Count = 96; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 323-325; Charge State m/z (+18): 704.629357721697; RT (min): 44.3081383333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep2_2-70-2-10; Scan Range: 323-325; Charge State m/z (+18): 704.629357721697; RT (min): 44.3081383333333\n\nQuantitation Results:Q-Value = 0.9140134286333116742473467619; Log2FC = -0.60128792130604; Significant = False; Stress Quantitative Component Count = 113; Normal Quantitative Component Count = 149; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 322-324; Charge State m/z (+17): 746.18529; RT (min): 44.4562141666667	177	270870182.46	410929103.46	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12732.69_Da_E1034 Q08245_2full113_1G_P29_1T Acetyl; Sulfonation	experimental	110605393.991426	Accession = E1034; Aggregated Mass = 12732.6921411503; Aggregated Retention Time = 49.6634183989027; Total Intensity = 110605393.991426; Aggregated Component Count = 2; ; Lysine Count = 20; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract8_rep2_2-70-2-10; Scan Range: 361-363; Charge State m/z (+14): 910.27001; RT (min): 49.6630066666667; Abundant Component for Manual Validation of Identification Validation: File: 10-30-15_S_fract8_rep2_2-70-2-10; Scan Range: 360-362; Charge State m/z (+14): 910.27085; RT (min): 49.529825\n\nQuantitation Results:Q-Value = 0.2706404320987654320987654323; Log2FC = 3.70460066642698; Significant = True; Stress Quantitative Component Count = 18; Normal Quantitative Component Count = 10; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep2_2-70-2-10; Scan Range: 350-352; Charge State m/z (+14): 910.27162; RT (min): 48.2750866666667	178	102726140.9	9280965.99535751	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
12750.73_Da_E421 Q08245_2full113_1G_P12_1T Acetyl; Phospho; Water Adduct	experimental_below_quantification_threshold	20	Accession = E421; Aggregated Mass = 12750.7253852837; Aggregated Retention Time = 50.8971980964405; Total Intensity = 20; Aggregated Component Count = 2; ; Lysine Count = 20; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 349-351; Charge State m/z (+13): 981.59969; RT (min): 50.81669; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 349-351; Charge State m/z (+13): 981.59969; RT (min): 50.81669	179				
12810.02_Da_E488	experimental	1305407743.71716	Accession = E488; Aggregated Mass = 12810.0206386371; Aggregated Retention Time = 44.6943496000508; Total Intensity = 1305407743.71716; Aggregated Component Count = 9; ; Lysine Count = 23; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 324-326; Charge State m/z (+16): 801.4456; RT (min): 44.6519175; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 323-325; Charge State m/z (+16): 801.44526; RT (min): 44.518605\n\nQuantitation Results:Q-Value = 0.9585210210210210210210210211; Log2FC = -0.584533990105384; Significant = False; Stress Quantitative Component Count = 40; Normal Quantitative Component Count = 64; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract6_rep1_good_2-70-2-10; Scan Range: 318-320; Charge State m/z (+17): 754.527871252624; RT (min): 44.0207525	180	522605104.031304	783332568.039932	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
13542.47_Da_E583 P39939_2full119_1G_P1_1T Missing Leucine (L)	experimental_below_quantification_threshold	20	Accession = E583; Aggregated Mass = 13542.4663899143; Aggregated Retention Time = 46.5509825; Total Intensity = 20; Aggregated Component Count = 1; ; Lysine Count = 15; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 337-339; Charge State m/z (+19): 713.66316; RT (min): 46.5509825; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 338-340; Charge State m/z (+20): 678.029971194163; RT (min): 46.5203508333333	181				
13599.5_Da_E271 P39939_2full119_1G_P1_1T Missing Leucine (L); Carbamidomethyl	experimental	463018261.39	Accession = E271; Aggregated Mass = 13599.5040343509; Aggregated Retention Time = 46.3539841962605; Total Intensity = 463018261.39; Aggregated Component Count = 24; ; Lysine Count = 15; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep2_2-70-2-10; Scan Range: 338-340; Charge State m/z (+20): 680.8819; RT (min): 46.5203508333333; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep1_2-70-2-10; Scan Range: 336-338; Charge State m/z (+19): 716.61204; RT (min): 47.4244891666667\n\nQuantitation Results:Q-Value = 0.4674523007856341189674523008; Log2FC = -1.59035387861386; Significant = True; Stress Quantitative Component Count = 11; Normal Quantitative Component Count = 51; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract6_rep1_good_2-70-2-10; Scan Range: 332-334; Charge State m/z (+19): 716.64032; RT (min): 45.8858125	182	116154133.71739	347587825.55	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
13655.55_Da_E139 P39939_2full119_1G_P1_1T Unmodified	experimental	179748033.77	Accession = E139; Aggregated Mass = 13655.5549072851; Aggregated Retention Time = 46.5255018625178; Total Intensity = 179748033.77; Aggregated Component Count = 40; ; Lysine Count = 15; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract7_rep1_2-70-2-10; Scan Range: 337-339; Charge State m/z (+18): 759.53757; RT (min): 46.5509825; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract7_rep1_2-70-2-10; Scan Range: 329-330; Charge State m/z (+20): 683.68464; RT (min): 45.3898716666667\n\nQuantitation Results:Q-Value = 0.6564361564361564361564361566; Log2FC = -1.4070311497295; Significant = False; Stress Quantitative Component Count = 12; Normal Quantitative Component Count = 24; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract6_rep1_good_2-70-2-10; Scan Range: 332-334; Charge State m/z (+20): 683.76149; RT (min): 45.8858125	183	50079522.4822441	131301872.915587	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
13713.56_Da_E52 P39938_2full119_1G_P1_1T Unmodified	experimental	699851045.31	Accession = E52; Aggregated Mass = 13713.5631136536; Aggregated Retention Time = 46.9646315149258; Total Intensity = 699851045.31; Aggregated Component Count = 92; ; Lysine Count = 15; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 329-331; Charge State m/z (+19): 722.66833; RT (min): 47.3417516666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 329-331; Charge State m/z (+19): 722.66833; RT (min): 47.3417516666667\n\nQuantitation Results:Q-Value = 0.9332140263512812532420375558; Log2FC = -0.787308110573986; Significant = False; Stress Quantitative Component Count = 42; Normal Quantitative Component Count = 51; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 334-336; Charge State m/z (+19): 722.74894; RT (min): 46.0549766666667	184	256745869.65	443105175.66	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
13729.56_Da_E146 P39938_2full119_1G_P2_1T Ox	experimental	253712647.201102	Accession = E146; Aggregated Mass = 13729.5649271899; Aggregated Retention Time = 47.1341210085444; Total Intensity = 253712647.201102; Aggregated Component Count = 16; ; Lysine Count = 15; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_8_rep1_2-70-2-10; Scan Range: 334-336; Charge State m/z (+20): 687.38504; RT (min): 47.1587141666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 328-330; Charge State m/z (+19): 723.51278; RT (min): 47.2087666666667\n\nQuantitation Results:Q-Value = 0.8359351086623813896541169269; Log2FC = -1.0166615209299; Significant = False; Stress Quantitative Component Count = 25; Normal Quantitative Component Count = 24; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep2_2-70-2-10; Scan Range: 331-333; Charge State m/z (+20): 687.46195; RT (min): 45.7443141666667	185	84111107.6343209	169791639.69	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
13920.77_Da_E621	experimental_below_quantification_threshold	20	Accession = E621; Aggregated Mass = 13920.7683482408; Aggregated Retention Time = 62.2734985455756; Total Intensity = 20; Aggregated Component Count = 2; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 434-436; Charge State m/z (+14): 995.27524; RT (min): 62.2822691666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 434-436; Charge State m/z (+17): 819.81619; RT (min): 62.2822691666667	186				
13920.83_Da_E138 P04912_2full132_1G_P1_2T Ammonia loss	experimental_below_quantification_threshold	20	Accession = E138; Aggregated Mass = 13920.8318772454; Aggregated Retention Time = 54.2947322975607; Total Intensity = 20; Aggregated Component Count = 16; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 11-02-15_NS_fract8_rep2_2-70-2-10; Scan Range: 384-386; Charge State m/z (+9): 1547.64165; RT (min): 53.9873425; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 421-423; Charge State m/z (+17): 819.81627; RT (min): 58.2267116666667	187				
13932.26_Da_E222 P0CX85_2full120_2G_P1_1T Missing Alanine (A)	experimental	171161024.16	Accession = E222; Aggregated Mass = 13932.2587405436; Aggregated Retention Time = 48.6586196669721; Total Intensity = 171161024.16; Aggregated Component Count = 14; ; Lysine Count = 22; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 352-354; Charge State m/z (+17): 820.37515; RT (min): 48.6435433333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract6_rep2_2-70-2-10; Scan Range: 352-354; Charge State m/z (+18): 774.85465; RT (min): 48.674405\n\nQuantitation Results:Q-Value = 0.5451388888888888888888888891; Log2FC = -1.63204437792008; Significant = True; Stress Quantitative Component Count = 6; Normal Quantitative Component Count = 37; Abundant Component for Manual Validation of Quantification: File: 10-23-15_B_fract8_rep1_2-70-2-10; Scan Range: 378-380; Charge State m/z (+14): 996.449572881143; RT (min): 52.1561458333333	188	42008614.9003008	129444772.111003	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	experimental	9673806982.25	Accession = E15; Aggregated Mass = 13978.8473788222; Aggregated Retention Time = 61.2808360554725; Total Intensity = 9673806982.25; Aggregated Component Count = 252; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 435-437; Charge State m/z (+13): 1076.22576; RT (min): 62.4154375; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 435-437; Charge State m/z (+13): 1076.22576; RT (min): 62.4154375\n\nQuantitation Results:Q-Value = 0.7093373493975903614457831325; Log2FC = -0.753106996537709; Significant = False; Stress Quantitative Component Count = 176; Normal Quantitative Component Count = 187; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract5_rep1_2-70-2-10; Scan Range: 429-431; Charge State m/z (+17): 823.31559; RT (min): 58.7917958333333	189	3602345941.03	6071461041.22	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
14003.29_Da_E1698 P0CX85_2full120_2G_P1_1T Unmodified	experimental_below_quantification_threshold	20	Accession = E1698; Aggregated Mass = 14003.291237271; Aggregated Retention Time = 54.6536408924541; Total Intensity = 20; Aggregated Component Count = 3; ; Lysine Count = 22; Abundant Component for Manual Validation of Identification: File: 10-26-15_S_fract6_rep2_2-70-2-10; Scan Range: 397-399; Charge State m/z (+17): 824.5532; RT (min): 54.64006; Abundant Component for Manual Validation of Identification Validation: File: 10-26-15_S_fract6_rep2_2-70-2-10; Scan Range: 395-397; Charge State m/z (+17): 824.55333; RT (min): 54.3719391666667	190				
14003.3_Da_E20 P0CX85_2full120_2G_P1_1T Unmodified	experimental	12523238162.96	Accession = E20; Aggregated Mass = 14003.2984272127; Aggregated Retention Time = 48.7166892237918; Total Intensity = 12523238162.96; Aggregated Component Count = 141; ; Lysine Count = 22; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 345-347; Charge State m/z (+18): 778.801639687901; RT (min): 50.2850625; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 343-345; Charge State m/z (+18): 778.80174; RT (min): 50.1771958333333\n\nQuantitation Results:Q-Value = 0.8381802379997325845701296965; Log2FC = -0.681387548857182; Significant = False; Stress Quantitative Component Count = 160; Normal Quantitative Component Count = 198; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract6_rep1_2-70-2-10; Scan Range: 341-343; Charge State m/z (+19): 738.01193; RT (min): 46.9874958333333	191	4809819736.6	7713418426.36	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
14004.82_Da_E1010	experimental_below_quantification_threshold	20	Accession = E1010; Aggregated Mass = 14004.8248143229; Aggregated Retention Time = 62.8271816797898; Total Intensity = 20; Aggregated Component Count = 3; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 438-440; Charge State m/z (+17): 824.76189; RT (min): 62.8143166666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 438-440; Charge State m/z (+17): 824.76189; RT (min): 62.8143166666667	192				
14043.33_Da_E216	experimental	250324941.285693	Accession = E216; Aggregated Mass = 14043.3295206682; Aggregated Retention Time = 47.5834619867231; Total Intensity = 250324941.285693; Aggregated Component Count = 15; ; Lysine Count = 22; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 346-347; Charge State m/z (+18): 781.02526; RT (min): 47.7010283333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep1_2-70-2-10; Scan Range: 346-347; Charge State m/z (+18): 781.02526; RT (min): 47.7010283333333\n\nQuantitation Results:Q-Value = 0.6290343915343915343915343915; Log2FC = -1.78668075771211; Significant = False; Stress Quantitative Component Count = 13; Normal Quantitative Component Count = 28; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep1_2-70-2-10; Scan Range: 367-369; Charge State m/z (+18): 781.23055; RT (min): 50.5940058333333	193	57158861.1713577	194691391.179364	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
14062.87_Da_E278 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	experimental	561427014.84	Accession = E278; Aggregated Mass = 14062.867085101; Aggregated Retention Time = 62.5000421515495; Total Intensity = 561427014.84; Aggregated Component Count = 33; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 438-440; Charge State m/z (+16): 879.87392; RT (min): 62.8143166666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 438-440; Charge State m/z (+16): 879.87392; RT (min): 62.8143166666667\n\nQuantitation Results:Q-Value = 0.2752167060677698975571315996; Log2FC = 1.28595844830983; Significant = True; Stress Quantitative Component Count = 62; Normal Quantitative Component Count = 77; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract6_rep1_good_2-70-2-10; Scan Range: 423-425; Charge State m/z (+17): 828.17649; RT (min): 58.1509658333333	194	398147439.82	163279575.02	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
14101.28_Da_E69 P0CX85_2full120_2G_P2_1T Phospho; Water Adduct	experimental	526925626.47	Accession = E69; Aggregated Mass = 14101.2816294114; Aggregated Retention Time = 49.5938090543175; Total Intensity = 526925626.47; Aggregated Component Count = 38; ; Lysine Count = 22; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 345-347; Charge State m/z (+18): 784.24334; RT (min): 50.2850625; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 345-347; Charge State m/z (+18): 784.24334; RT (min): 50.2850625\n\nQuantitation Results:Q-Value = 0.946023212152244410308926438; Log2FC = -0.440151694687915; Significant = False; Stress Quantitative Component Count = 41; Normal Quantitative Component Count = 56; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract5_rep1_2-70-2-10; Scan Range: 353-355; Charge State m/z (+17): 830.48033; RT (min): 48.66711	195	223581755.49	303343870.98	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
